name;protein;fats;carbohydrate;calorie
Сыр полутвердый «Брест-Литовск» пошехонский, 45%, 200 г;26;25.7;335.3;/
Напиток сухой «Соевый заменитель молока» 200 г;10.4;18.3;62.8;496
Молоко питьевое пастеризованное «Минская марка» 3.3%;3.1;3.3;4.7;60
Кефир «Стары Менск» 1%, 950 г;2.8;1;4;35
Сырок творожный глазированный «Стары Менск» ваниль, 23%, 40 г;9;25;33;390
Сырок творожный глазированный «Стары Менск» с какао и ароматом ванили, 23%, 40 г;8;26;35;410
Творог «Стары Менск» 1%, 180 г;18;1;1.3;85
Творог «Стары Менск» 5%, 180 г;17;5;1.5;120
Масло сладкосливочное «Славянские традиции» 82,5%, 180 г;0.5;82.5;0.8;3132
Масло сладкосливочное «Славянские традиции» Крестьянское, 72,5%, 180 г;0.5;82.5;0.8;3133
Сыр «Губернский» с топленым молоком, 45%, 1 кг;23.2;25;320;/
Сыр «Русский Экстра» 45%, 1 кг;23.2;24.3;310;/
Яйца куриные «Молодецкие Люкс» Д-1;12.7;11.5;0.7;157
Шампиньоны культивируемые, 250 г;4.3;0.33;0.1;27
Молоко «Простоквашино» ультрапастеризованное 1,5%;3.1;1.5;4.7;45
Молоко «Простоквашино» ультрапастеризованное 2,5%;3.1;2.5;4.7;54
Масло «Простоквашино» сладкосливочное несоленое 72,5%, 160 г;0.8;72.5;1.3;"700101290.016;"
Молоко «Простоквашино» ультрапастеризованное 3,2%;3.1;3.2;4.7;60
Масло «Простоквашино» сладкосливочное несоленое 82,5%, 160 г;0.5;82.5;0.8;3070
Проростки «Рукола» 50 г;3;1;4;25
Сметана «Брест-Литовск» 15%, 380 г  ;2.7;15;2.9;157.4
Сметана «Брест-Литовск» 20%, 380 г  ;2.6;20;2.9;202
Сметана «Брест-Литовск» 25%, 380 г  ;2.4;25;2.9;246.2
Молоко «Молочный гостинец» ультрапастеризованное, 3,6%;3.1;36;4.7;65
Сметана «MILKAVITA» 10%, 450 г;2.8;10;3.1;114
Яблоко «Айдаред»;0.4;0.4;12.1;46
Мороженое «Морозпродукт» сливочное, со вкусом соленой карамели и арахиса, 250 г  ;4.4;10.9;25.7;219
Творог «Бабушкина крынка» классический, 1%, 200 г;16.3;1;1.3;79.4
Сметана «Асаблівая А2» 12%, 330 г;2.8;12;3.1;130
Молоко «Асаблівае А2» 3.6%, 750 мл;3;3.6;4.7;65,0
Кефир «Асаблівы А2» 3.6%, 750 мл;3;3.6;4;60
Биойогурт  «Асаблівы А2»  3.6%, 330 г;3.3;3.6;6.1;0
Сметана «Беллакт» 21%, 400 г;2.5;21;2.9;210.6
Сметана «Здравушка» 19%, 180 г;2.6;19;2.9;190
Сметана «Здравушка» 19%, 380 г;2.5;19;2.9;240
Сметана «Здравушка» 14%, 400 г;2.8;14;3.1;150
Сметана «Здравушка» 24%, 400 г;2.4;24;2.9;240
Яйца куриные «Молодецкие» Д-О;12.7;11.5;0.7;157
Сметана «Радуга вкуса» Мозырская, 19%, 400 г;2.6;19;2.9;193
Йогурт «Растишка» с яблоком, грушей и печеньем 3,0%, 118 г;3.8;18.9;67.6;473
Молоко питьевое пастеризованное «Минская марка» 2.6%;3.1;2.6;4.7;55
Сырок творожный «Alpen Gold» клубника в шоколадной глазури, 40 г;10.1;23.5;33.8;387
Сыр полутвердый «Моцарелла для пиццы» 40%, 1 кг;23;21.6;3;286
Биойогурт питьевой «Активил» с ароматом лесных ягод, 2%, 800 г;2.1;2;9;62.4
Биойогурт питьевой «Активил» с ароматом банана, 2%, 800 г;2.1;2;9;62.4
Биойогурт питьевой «Активил» с ароматом вишни, 2%, 800 г;2.1;2;9;62.4
Биойогурт питьевой «Активил» с ароматом манго, 2%, 800 г;2.1;2;9;62.4
Сыр творожный «Bon Cremor» солёный, 65%, 150 г;6;26;2;270
Яйца куриные «Солигорская птицефабрика» Молодецкие, с селеном, С2, 10 шт;12.7;11.5;0.7;157
Молоко «Минская марка» пастеризованное, 3.3%;3.1;3.3;4.7;60
Кефир «Минская марка» 2.6%, 1 л;3.1;2.6;4;50
Кефир «Минская марка» 3.3%, 1000 г;3.1;3.3;4;60
Кефир «Минская марка» 3.3%, 500 г;3.1;3.3;4;60
Взбитые сливки «Альпенгурт» ультрапастеризованные, 17%, 200 г;2.6;18;9;207
Сыр творожный «Bonfesto» сливочный, 65%, 125 г;5.8;22;220;/
Киви крупный, 1 кг;0.99;0.44;14.8;61
Бифидопродукт «Бифидин малютка 5-12» 3.4 %, 150 г;1.5;3.4;7.2;65
Молоко «Бабушкина крынка» ультрапастеризованное, 6%;2.6;6;4.7;85
Молоко питьевое «Вкусное» 3%, 1 л;2.8;3;4.7;57
Сыр с плесенью «President» Red Snack, 60%, 90 г;16;32;0.5;352
Сыр с плесенью «President» La Brique, 45%, 200 г;17;20;0.5;248
Сыр плавленый «Жаворонки» с ветчиной, 30%, 130 г;11;12;10;190
Сметана «Молочный гостинец» 22%, 400 г;2.6;22;2.9;220
Фруктовый лед «Бон Пари» Арбузик, арбуз-яблоко, 67 г;0.1;20;80;/
Сыр твердый «La Paulina» Гойя, 40 %, 1 кг;31;28;1.4;382
Сыр полутвердый «Dontaler» 45 %, 1 кг;26;25.2;331;/
Сыр козий «Excelsior» Formaggio, твердый, 45 %, 1 кг;24.2;23.4;307;/
Напиток ореховый «Palitra» кешью, кокос, 1000 мл;1.7;3;3;46
Напиток ореховый  «Palitra» кешью, миндаль, 1000 мл;1.8;2.7;2.9;43
Напиток ореховый «Palitra» кешью, фундук, 1000 мл;1.8;2.8;2.9;44
Сыр твердый «Dolce Granto» пармезан, 40%, 200 г;36.3;24.4;364.8;/
Сыр «Гауда» 45%, 1 кг;23;24;310;/
Сливки питьевые «Поставы городок» 18%, 500 г;2.5;18;3.7;186.8
Сметана «Минская марка» 25%, 400 г;2.4;25;2.9;250
Молоко «Минская марка» отборное, 3.4-6%;3.1;6;4.7;85
Молоко «Бабушкина крынка» ультрапастеризованное, 2,5 %;2.9;2.5;4.7;55
Молоко «Бабушкина крынка» ультрапастеризованное, 3,2%;2.9;3.2;4.7;60
Молоко «Свежие новости»;2.8;2.8;4.7;55
Молоко отборное «Свежие новости» 3.5-4%, ультрапастеризованное;2.8;4;4.7;65
Йогуртный коктейль «Даниссимо» вкус клубничное мороженое 2,6%, 190 г;2.6;2.7;12.7;87
Сырок глазированный «Минская марка» ваниль, без сахара, 20%, 45 г ;23.9;12.2;27.9;340
Сырок глазированный «Минская марка» какао, без сахара, 20%, 45 г ;11.4;24.3;31.5;350
Сметана «Поставы городок» 18%, 450 г ;2.6;18;2.9;184
Сметана «Поставы городок» 18%, 350 г;2.6;18;2.9;184
Мороженое «Морозпродукт» ваниль, арахис, соленая карамель, 1000 г;4.4;10.9;26.6;222
Мороженое «Морозпродукт» сливочное, шоколадное, 1 кг;3.2;10.3;21.8;193
Сливки питьевые «Ляховичок» пастеризованные, 10%, 500 мл;2.8;10;4;117
Сыр мягкий «SVEZA» Моцарелла миди, 45%, 150 г;18;18;234;/
Ряженка «Савушкин» персик, 2%, 420 г;2.8;2;9.1;65.6
